antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'butylene glycol', 'xanthan gum', 'disodium edta'})",frozenset({'phenoxyethanol'}),0.08521097910692339,0.5641130684145842,0.06595657517410897,0.7740384615384615,1.3721335400256967,1.0,0.017887948287491386,1.9290315270163074,0.29647050315287615,0.11306179775280896,0.48160515471370713,0.44547965197475
frozenset({'dimethicone'}),frozenset({'phenoxyethanol'}),0.1757476444080295,0.5641130684145842,0.1360098320360508,0.7738927738927739,1.3718752803720125,1.0,0.03686828908240203,1.927788594331375,0.32886865553665945,0.22523744911804613,0.48127092206039573,0.50749831141988
"frozenset({'butylene glycol', 'glycerin', 'caprylyl glycol', 'water'})",frozenset({'phenoxyethanol'}),0.0905366653011061,0.5641130684145842,0.07005325686194183,0.7737556561085973,1.3716322124626623,1.0,0.018980340794910656,1.926620237607538,0.2979137031768612,0.11983181499649617,0.48095635015139665,0.4489693313222725
"frozenset({'butylene glycol', 'glycerin', 'linalool'})",frozenset({'phenoxyethanol'}),0.07783695206882425,0.5641130684145842,0.06022122081114297,0.7736842105263158,1.371505561288843,1.0,0.016312378943559608,1.9260120232843951,0.293737930534275,0.10352112676056338,0.4807924416303917,0.44021901158124066
"frozenset({'glycerin', 'trehalose'})",frozenset({'phenoxyethanol'}),0.07578861122490782,0.5641130684145842,0.058582548136009834,0.7729729729729731,1.3702447545584802,1.0,0.015829202107047087,1.919978151030999,0.2923610077865398,0.1007751937984496,0.4791607396870557,0.43841095997958746
"frozenset({'sodium benzoate', 'butylene glycol', 'glycerin'})",frozenset({'phenoxyethanol'}),0.08480131093814011,0.5641130684145842,0.06554690700532569,0.7729468599033816,1.370198464069829,1.0,0.017709379286432222,1.919757336982576,0.29521318263205004,0.11235955056179775,0.47910083178961893,0.4445707429509646
"frozenset({'caprylyl glycol', 'glycerin'})",frozenset({'phenoxyethanol'}),0.23187218353133962,0.5641130684145842,0.17902498975829578,0.7720848056537103,1.3686703054471363,1.0,0.04822286082644217,1.912496149436786,0.35067581998474445,0.2901726427622842,0.4771231302638222,0.5447206889561217
"frozenset({'butylene glycol', 'glycerin', 'sodium hyaluronate'})",frozenset({'phenoxyethanol'}),0.1921343711593609,0.5641130684145842,0.14829987709954937,0.7718550106609808,1.3682629491818838,1.0,0.03991436743693569,1.9105698216220564,0.3331572960675983,0.24393530997304583,0.4765959408115171,0.5173726759913473
"frozenset({'sodium hydroxide', 'tocopheryl acetate'})",frozenset({'phenoxyethanol'}),0.06636624334289226,0.5641130684145842,0.05120852109791069,0.7716049382716049,1.36781964729193,1.0,0.013770455926602768,1.90847791667128,0.288024572180781,0.0884016973125884,0.4760222315046876,0.4311909949164851
"frozenset({'sodium hydroxide', 'sodium hyaluronate'})",frozenset({'phenoxyethanol'}),0.08070462925030725,0.5641130684145842,0.062269561655059404,0.7715736040609138,1.3677641013164057,1.0,0.01674302561340718,1.9082161227183767,0.2924846373956282,0.10689170182841069,0.4759503454066641,0.440979249379767
"frozenset({'glyceryl stearate', 'butylene glycol'})",frozenset({'phenoxyethanol'}),0.08930766079475624,0.5641130684145842,0.06882425235559197,0.7706422018348624,1.366113009933841,1.0,0.018444633791733167,1.9004670217124133,0.29427736006683386,0.11772950245269798,0.47381354763054434,0.4463232795666687
"frozenset({'potassium sorbate', 'citric acid', 'water'})",frozenset({'glycerin'}),0.05735354362965998,0.7165096272019664,0.05612453912331012,0.9785714285714285,1.3657477742383402,1.0,0.01503017295851073,13.229550730574879,0.28409418945111126,0.07819634703196347,0.9244116432700247,0.5284509515641591
"frozenset({'tocopheryl acetate', 'potassium sorbate'})",frozenset({'phenoxyethanol'}),0.06595657517410897,0.5641130684145842,0.050798852929127405,0.7701863354037267,1.3653048981267224,1.0,0.013591886925543611,1.8966971887905932,0.2864565647990946,0.08769448373408768,0.47276771120347455,0.43011858527630054
"frozenset({'sodium benzoate', 'xanthan gum'})",frozenset({'glycerin'}),0.07292093404342483,0.7165096272019664,0.07128226136829169,0.9775280898876405,1.364291633742556,1.0,0.01903371010161818,12.615321589512526,0.2880216983863349,0.09925841414717627,0.9207313112944082,0.5385067550638889
"frozenset({'xanthan gum', 'pentylene glycol'})",frozenset({'glycerin'}),0.05366653011061041,0.7165096272019664,0.05243752560426055,0.9770992366412213,1.3636931027108183,1.0,0.013984940121483984,12.379079612180778,0.28182156385281387,0.0730593607305936,0.9192185500595683,0.5251419567997416
frozenset({'trehalose'}),frozenset({'phenoxyethanol'}),0.08521097910692339,0.5641130684145842,0.06554690700532569,0.7692307692307693,1.3636109714541087,1.0,0.017478280118708105,1.8888433702034688,0.2914912673533363,0.11228070175438597,0.4705754771544246,0.4427126976146584
"frozenset({'water', 'butylene glycol', 'glycerin', 'ethylhexylglycerin'})",frozenset({'phenoxyethanol'}),0.08521097910692339,0.5641130684145842,0.06554690700532569,0.7692307692307693,1.3636109714541087,1.0,0.017478280118708105,1.8888433702034688,0.2914912673533363,0.11228070175438597,0.4705754771544246,0.4427126976146584
"frozenset({'glycerin', 'bht'})",frozenset({'phenoxyethanol'}),0.07455960671855796,0.5641130684145842,0.05735354362965998,0.7692307692307693,1.3636109714541087,1.0,0.015293495103869598,1.8888433702034688,0.28813634351482964,0.09866102889358702,0.4705754771544246,0.4354505334897492
"frozenset({'dimethicone', 'water'})",frozenset({'phenoxyethanol'}),0.14543219991806636,0.5641130684145842,0.11183941007783695,0.7690140845070422,1.3632268556875018,1.0,0.029799205535773296,1.8870714721075925,0.3117907978885927,0.18711446196024673,0.4700783649264004,0.483635582558532
